"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa"
592,"Morera","08/03/2012 09:33","Alto (> 8 mts)",165,"Grande",-68.8200878579,-32.8680147121,4,"Cuarta Este Área Fundacional",1822015.85685,1
595,"Morera","08/03/2012 09:29","Alto (> 8 mts)",110,"Grande",-68.8199274921,-32.8679645419,4,"Cuarta Este Área Fundacional",1822015.85685,1
600,"Morera","08/03/2012 09:22","Alto (> 8 mts)",130,"Grande",-68.81970164,-32.8679742119,4,"Cuarta Este Área Fundacional",1822015.85685,1
601,"Morera","08/03/2012 09:21","Alto (> 8 mts)",160,"Grande",-68.8196436984,-32.8679746839,4,"Cuarta Este Área Fundacional",1822015.85685,1
665,"Paraiso sombrilla","07/03/2012 16:19","Bajo (2 - 4 mts)",160,"Grande",-68.8184218796,-32.8680343759,4,"Cuarta Este Área Fundacional",1822015.85685,1
674,"Jacarand","30/01/2012 17:42","Muy bajo (1 - 2 mts)",14,"Chico",-68.8527703975,-32.9020982708,2,"Barrio Civico",2366816.36021,1
695,"Morera","19/07/2011 11:51","Alto (> 8 mts)",51,"Mediano",-68.8410883686,-32.8629353285,4,"Cuarta Oeste",1173332.70145,1
696,"Paraiso","09/08/2011 10:07","Alto (> 8 mts)",107,"Grande",-68.8340299649,-32.8649668542,4,"Cuarta Oeste",1173332.70145,1
703,"Morera","09/08/2011 10:19","Alto (> 8 mts)",140,"Grande",-68.8337971817,-32.864775843,4,"Cuarta Oeste",1173332.70145,1
761,"Aguaribay","15/12/2011 07:49","Alto (> 8 mts)",95,"Grande",-68.8804810282,-32.8670852935,8,"Aeroparque",2203364.73622,1
765,"Aguaribay","14/12/2011 11:12","Medio (4 - 8 mts)",35,"Mediano",-68.8805341773,-32.8672805847,8,"Aeroparque",2203364.73622,1
778,"Aguaribay","14/12/2011 10:47","Alto (> 8 mts)",170,"Grande",-68.8798260681,-32.867531246,8,"Aeroparque",2203364.73622,1
782,"Aguaribay","14/12/2011 10:35","Medio (4 - 8 mts)",138,"Grande",-68.8795850182,-32.8674570463,8,"Aeroparque",2203364.73622,1
809,"Jacarand","13/12/2011 10:50","Medio (4 - 8 mts)",40,"Mediano",-68.8792157608,-32.8660266573,8,"Aeroparque",2203364.73622,1
886,"Acacia SP","17/01/2012 12:14","Medio (4 - 8 mts)",30,"Mediano",-68.8476830019,-32.8753616781,6,"Residencial Norte",2694682.37982,1
894,"Paraiso","17/01/2012 08:30","Medio (4 - 8 mts)",95,"Grande",-68.8472827725,-32.8734407581,6,"Residencial Norte",2694682.37982,1
914,"Morera","29/02/2012 09:51","Bajo (2 - 4 mts)",20,"Chico",-68.852195758,-32.8719749181,6,"Residencial Norte",2694682.37982,1
965,"Morera","25/01/2012 08:20","Alto (> 8 mts)",130,"Grande",-68.8497624641,-32.8728600186,6,"Residencial Norte",2694682.37982,1
967,"Morera","25/01/2012 08:16","Alto (> 8 mts)",105,"Grande",-68.8497842782,-32.8729473279,6,"Residencial Norte",2694682.37982,1
979,"Morera","16/01/2012 09:59","Medio (4 - 8 mts)",45,"Mediano",-68.8361998502,-32.8688170182,4,"Cuarta Oeste",1173332.70145,1
992,"Pltano","16/01/2012 09:05","Alto (> 8 mts)",135,"Grande",-68.8354210723,-32.868004554,4,"Cuarta Oeste",1173332.70145,1
1061,"Paraiso","05/12/2011 12:58","Medio (4 - 8 mts)",85,"Grande",-68.8772494788,-32.8691292858,8,"Aeroparque",2203364.73622,1
1068,"Aguaribay","14/12/2011 13:38","Medio (4 - 8 mts)",80,"Grande",-68.8800134795,-32.8682045017,8,"Aeroparque",2203364.73622,1
1141,"Caducifolio","02/12/2011 07:33","Bajo (2 - 4 mts)",45,"Mediano",-68.8770724236,-32.8684422015,8,"Aeroparque",2203364.73622,1
1159,"Fresno americano","29/11/2011 12:12","Medio (4 - 8 mts)",53,"Mediano",-68.8753499728,-32.8650495805,8,"Aeroparque",2203364.73622,1
1198,"Fresno europeo","30/11/2011 11:58","Bajo (2 - 4 mts)",18,"Chico",-68.8755182868,-32.8656277638,8,"Aeroparque",2203364.73622,1
1235,"Jacarand","29/11/2011 13:26","Alto (> 8 mts)",95,"Grande",-68.8764041915,-32.8654992128,8,"Aeroparque",2203364.73622,1
1245,"Paraiso","07/12/2011 10:31","Medio (4 - 8 mts)",130,"Grande",-68.8774595652,-32.8663745395,8,"Aeroparque",2203364.73622,1
1316,"Aguaribay","30/11/2011 11:20","Bajo (2 - 4 mts)",60,"Mediano",-68.8773806102,-32.8645709789,8,"Aeroparque",2203364.73622,1
1368,"Aguaribay","14/12/2011 11:12","Medio (4 - 8 mts)",35,"Mediano",-68.8788420551,-32.8670828738,8,"Aeroparque",2203364.73622,1
1414,"Acer","23/11/2011 08:25","Medio (4 - 8 mts)",40,"Mediano",-68.8714624628,-32.8791916582,7,"Residencial Parque",1786336.08966,1
1493,"Acacia SP","24/11/2011 11:31","Medio (4 - 8 mts)",80,"Grande",-68.8720836645,-32.8766639683,7,"Residencial Parque",1786336.08966,1
1655,"Aguaribay","23/11/2011 08:41","Alto (> 8 mts)",110,"Grande",-68.8717857924,-32.8780327619,7,"Residencial Parque",1786336.08966,1
1670,"Aguaribay","23/11/2011 08:10","Alto (> 8 mts)",136,"Grande",-68.8720779374,-32.8788375809,7,"Residencial Parque",1786336.08966,1
1705,"Paraiso","24/11/2011 12:16","Medio (4 - 8 mts)",58,"Mediano",-68.8721406293,-32.8785564943,7,"Residencial Parque",1786336.08966,1
1734,"Fresno americano","22/11/2011 09:31","Alto (> 8 mts)",98,"Grande",-68.8728935023,-32.8790079344,7,"Residencial Parque",1786336.08966,1
1739,"Caducifolio","22/11/2011 09:18","Medio (4 - 8 mts)",38,"Mediano",-68.8727798294,-32.8786980907,7,"Residencial Parque",1786336.08966,1
1753,"Perenne","21/11/2011 10:14","Bajo (2 - 4 mts)",32,"Mediano",-68.872434102,-32.8777745981,7,"Residencial Parque",1786336.08966,1
1761,"Aguaribay","25/11/2011 10:35","Medio (4 - 8 mts)",105,"Grande",-68.8706807582,-32.8790598111,7,"Residencial Parque",1786336.08966,1
1766,"Acer","25/11/2011 10:25","Medio (4 - 8 mts)",60,"Mediano",-68.8705921491,-32.8788295784,7,"Residencial Parque",1786336.08966,1
1867,"Conifera","16/11/2011 12:27","Medio (4 - 8 mts)",60,"Mediano",-68.8611977499,-32.8706674861,7,"Residencial Parque",1786336.08966,1
1900,"Acacia SP","17/11/2011 11:16","Muy bajo (1 - 2 mts)",2,"Chico",-68.8589955251,-32.8694487786,6,"Residencial Norte",2694682.37982,1
1901,"Acacia SP","17/11/2011 11:14","Muy bajo (1 - 2 mts)",2,"Chico",-68.8589812231,-32.8693579051,6,"Residencial Norte",2694682.37982,1
1904,"Acacia SP","16/11/2011 12:57","Muy bajo (1 - 2 mts)",3,"Chico",-68.8588883053,-32.8688354764,6,"Residencial Norte",2694682.37982,1
1909,"Paraiso","18/11/2011 11:32","Bajo (2 - 4 mts)",35,"Mediano",-68.8584719414,-32.8687491196,6,"Residencial Norte",2694682.37982,1
1932,"Paraiso","15/11/2011 13:11","Bajo (2 - 4 mts)",40,"Mediano",-68.8604602173,-32.8702537967,7,"Residencial Parque",1786336.08966,1
1948,"Paraiso sombrilla","18/11/2011 17:01","Medio (4 - 8 mts)",90,"Grande",-68.859181838,-32.870584737,6,"Residencial Norte",2694682.37982,1
1949,"Morera","18/11/2011 16:58","Medio (4 - 8 mts)",105,"Grande",-68.8591642332,-32.8705112236,6,"Residencial Norte",2694682.37982,1
1951,"Acacia SP","18/11/2011 16:56","Muy bajo (1 - 2 mts)",16,"Chico",-68.8591323344,-32.8702740204,6,"Residencial Norte",2694682.37982,1
1952,"Morera","18/11/2011 16:50","Alto (> 8 mts)",120,"Grande",-68.8590901608,-32.8700235669,6,"Residencial Norte",2694682.37982,1
1954,"lamo blanco","21/11/2011 12:48","Bajo (2 - 4 mts)",33,"Mediano",-68.8588160543,-32.8699180814,6,"Residencial Norte",2694682.37982,1
1981,"Morera","03/01/2012 11:02","Bajo (2 - 4 mts)",46,"Mediano",-68.8598102842,-32.8901939766,5,"Residencial Sur",2423808.92355,1
2002,"Morera","14/11/2011 13:48","Alto (> 8 mts)",105,"Grande",-68.8327345426,-32.8949033363,3,"Parque O'Higgins",1531146.02653,1
2009,"Morera","14/11/2011 13:40","Medio (4 - 8 mts)",105,"Grande",-68.8324411217,-32.8945198251,3,"Parque O'Higgins",1531146.02653,1
2012,"Caducifolio","14/11/2011 13:36","Alto (> 8 mts)",90,"Grande",-68.8322704842,-32.8942861161,3,"Parque O'Higgins",1531146.02653,1
2019,"Morera","02/11/2011 08:51","Medio (4 - 8 mts)",95,"Grande",-68.8329485656,-32.8948666297,3,"Parque O'Higgins",1531146.02653,1
2029,"Acacia SP","01/11/2011 09:20","Medio (4 - 8 mts)",90,"Grande",-68.834635671,-32.8947646754,3,"Parque O'Higgins",1531146.02653,1
2048,"Morera","14/11/2011 18:05","Alto (> 8 mts)",190,"Grande",-68.8276662853,-32.8807799412,4,"Cuarta Este Área Fundacional",1822015.85685,1
2084,"Morera","22/11/2011 12:38","Bajo (2 - 4 mts)",18,"Chico",-68.8296220328,-32.8823704217,3,"Parque O'Higgins",1531146.02653,1
2089,"Morera","22/11/2011 11:59","Alto (> 8 mts)",200,"Grande",-68.8280524093,-32.8823016116,3,"Parque O'Higgins",1531146.02653,1
2122,"Morera","11/11/2011 12:14","Medio (4 - 8 mts)",110,"Grande",-68.8308202253,-32.8862332643,3,"Parque O'Higgins",1531146.02653,1
2137,"Acacia SP","09/11/2011 10:08","Medio (4 - 8 mts)",75,"Grande",-68.8334809198,-32.8912713721,3,"Parque O'Higgins",1531146.02653,1
2144,"Morera","28/10/2011 10:51","Alto (> 8 mts)",169,"Grande",-68.8388178514,-32.8918580584,3,"Parque O'Higgins",1531146.02653,1
2148,"Morera","07/11/2011 10:39","Alto (> 8 mts)",142,"Grande",-68.8397727645,-32.8950127702,2,"Barrio Civico",2366816.36021,1
2164,"Morera","07/11/2011 09:03","Medio (4 - 8 mts)",100,"Grande",-68.8397723676,-32.8942904622,2,"Barrio Civico",2366816.36021,1
2168,"Morera","08/11/2011 17:00","Bajo (2 - 4 mts)",30,"Mediano",-68.831384623,-32.8867588201,3,"Parque O'Higgins",1531146.02653,1
2169,"Morera","08/11/2011 16:38","Medio (4 - 8 mts)",124,"Grande",-68.8314093906,-32.8871800481,3,"Parque O'Higgins",1531146.02653,1
2182,"Morera","04/11/2011 18:15","Alto (> 8 mts)",190,"Grande",-68.8340973768,-32.8869293215,3,"Parque O'Higgins",1531146.02653,1
2205,"Morera","28/10/2011 11:32","Medio (4 - 8 mts)",77,"Grande",-68.8391569718,-32.8928981151,2,"Barrio Civico",2366816.36021,1
2249,"Acacia SP","28/10/2011 10:06","Alto (> 8 mts)",180,"Grande",-68.8381162007,-32.8909506332,3,"Parque O'Higgins",1531146.02653,1
2253,"Pltano","28/10/2011 10:11","Alto (> 8 mts)",168,"Grande",-68.8382255602,-32.8912443112,3,"Parque O'Higgins",1531146.02653,1
2258,"Paraiso","28/10/2011 08:26","Alto (> 8 mts)",140,"Grande",-68.8381475619,-32.8926657562,3,"Parque O'Higgins",1531146.02653,1
2259,"Fresno europeo","28/10/2011 08:22","Medio (4 - 8 mts)",100,"Grande",-68.8381405186,-32.8928392072,3,"Parque O'Higgins",1531146.02653,1
2268,"Morera","27/10/2011 09:42","Alto (> 8 mts)",120,"Grande",-68.8371735247,-32.8912233179,3,"Parque O'Higgins",1531146.02653,1
2279,"Morera","03/11/2011 11:57","Alto (> 8 mts)",138,"Grande",-68.8375605275,-32.8941179734,2,"Barrio Civico",2366816.36021,1
2282,"Paraiso","03/11/2011 11:42","Medio (4 - 8 mts)",132,"Grande",-68.8382970831,-32.8942232474,2,"Barrio Civico",2366816.36021,1
2295,"Fresno europeo","04/11/2011 11:14","Medio (4 - 8 mts)",142,"Grande",-68.8392862571,-32.8942090938,2,"Barrio Civico",2366816.36021,1
2302,"Morera","04/11/2011 07:37","Medio (4 - 8 mts)",120,"Grande",-68.8382930639,-32.893349978,2,"Barrio Civico",2366816.36021,1
2315,"Morera","02/11/2011 10:43","Medio (4 - 8 mts)",50,"Mediano",-68.8361515085,-32.8946348319,2,"Barrio Civico",2366816.36021,1
2329,"Acer","28/10/2011 11:16","Alto (> 8 mts)",63,"Grande",-68.8368529125,-32.8945720616,2,"Barrio Civico",2366816.36021,1
2361,"Morera","03/11/2011 16:24","Medio (4 - 8 mts)",160,"Grande",-68.834236434,-32.8872334671,3,"Parque O'Higgins",1531146.02653,1
2384,"Fresno americano","31/10/2011 14:44","Bajo (2 - 4 mts)",46,"Mediano",-68.8378219972,-32.8859428273,3,"Parque O'Higgins",1531146.02653,1
2394,"Morera","21/10/2011 10:26","Medio (4 - 8 mts)",70,"Grande",-68.831519795,-32.8909439174,3,"Parque O'Higgins",1531146.02653,1
2427,"Morera","25/10/2011 09:04","Medio (4 - 8 mts)",100,"Grande",-68.8355895633,-32.8908460598,3,"Parque O'Higgins",1531146.02653,1
2460,"Morera","26/10/2011 10:04","Alto (> 8 mts)",155,"Grande",-68.837140995,-32.8927008335,3,"Parque O'Higgins",1531146.02653,1
2467,"Morera","26/10/2011 09:32","Medio (4 - 8 mts)",70,"Grande",-68.8370465582,-32.8911472986,3,"Parque O'Higgins",1531146.02653,1
2468,"Morera","26/10/2011 09:30","Medio (4 - 8 mts)",60,"Mediano",-68.8370429744,-32.8911142091,3,"Parque O'Higgins",1531146.02653,1
2493,"Morera","21/10/2011 14:36","Alto (> 8 mts)",122,"Grande",-68.8386468697,-32.8882328607,3,"Parque O'Higgins",1531146.02653,1
2505,"Morera","20/10/2011 12:48","Bajo (2 - 4 mts)",60,"Mediano",-68.8356865807,-32.8875870568,3,"Parque O'Higgins",1531146.02653,1
2508,"Fresno americano","20/10/2011 13:02","Alto (> 8 mts)",105,"Grande",-68.8355978567,-32.8882529098,3,"Parque O'Higgins",1531146.02653,1
2529,"Morera","19/10/2011 12:37","Medio (4 - 8 mts)",60,"Mediano",-68.8342636483,-32.8877673444,3,"Parque O'Higgins",1531146.02653,1
2530,"Fresno americano","19/10/2011 12:34","Medio (4 - 8 mts)",100,"Grande",-68.8342707097,-32.8879008564,3,"Parque O'Higgins",1531146.02653,1
2531,"Morera","19/10/2011 12:32","Alto (> 8 mts)",150,"Grande",-68.8342800995,-32.8880133116,3,"Parque O'Higgins",1531146.02653,1
2533,"Morera","19/10/2011 12:26","Alto (> 8 mts)",122,"Grande",-68.8343001075,-32.888363703,3,"Parque O'Higgins",1531146.02653,1
2547,"Pltano","14/10/2011 11:29","Alto (> 8 mts)",190,"Grande",-68.832970202,-32.8849192952,3,"Parque O'Higgins",1531146.02653,1
2572,"Acacia SP","17/10/2011 12:48","Alto (> 8 mts)",180,"Grande",-68.8362377865,-32.8823852246,3,"Parque O'Higgins",1531146.02653,1
2575,"Acacia SP","18/10/2011 11:45","Alto (> 8 mts)",130,"Grande",-68.8354793342,-32.8824264293,3,"Parque O'Higgins",1531146.02653,1
2584,"Morera","26/10/2011 10:11","Alto (> 8 mts)",168,"Grande",-68.8369507611,-32.8894600804,3,"Parque O'Higgins",1531146.02653,1
2588,"Fresno europeo","26/10/2011 09:09","Muy bajo (1 - 2 mts)",3,"Chico",-68.8362287195,-32.8886824297,3,"Parque O'Higgins",1531146.02653,1
2607,"Pltano","27/10/2011 16:49","Medio (4 - 8 mts)",46,"Mediano",-68.8296669876,-32.8809846303,3,"Parque O'Higgins",1531146.02653,1
2619,"Fresno europeo","07/10/2011 14:06","Alto (> 8 mts)",130,"Grande",-68.8297515681,-32.8802734642,4,"Cuarta Este Área Fundacional",1822015.85685,1
2636,"Paraiso","21/10/2011 19:09","Medio (4 - 8 mts)",140,"Grande",-68.8349421422,-32.8810069335,1,"Parque Central",1655357.93265,1
2669,"Morera","07/10/2011 09:10","Alto (> 8 mts)",140,"Grande",-68.830286541,-32.8838382252,3,"Parque O'Higgins",1531146.02653,1
2670,"Pltano","07/10/2011 09:09","Alto (> 8 mts)",232,"Grande",-68.8303381977,-32.883835932,3,"Parque O'Higgins",1531146.02653,1
2705,"Morera","11/10/2011 08:08","Alto (> 8 mts)",95,"Grande",-68.8303005745,-32.8826786392,3,"Parque O'Higgins",1531146.02653,1
2716,"Fresno americano","12/10/2011 14:18","Alto (> 8 mts)",100,"Grande",-68.8316019716,-32.8826279711,3,"Parque O'Higgins",1531146.02653,1
2727,"Morera","14/10/2011 11:30","Alto (> 8 mts)",190,"Grande",-68.8311666888,-32.885146246,3,"Parque O'Higgins",1531146.02653,1
2766,"Morera","12/10/2011 16:09","Alto (> 8 mts)",120,"Grande",-68.8366424233,-32.8822619279,1,"Parque Central",1655357.93265,1
2784,"Morera","21/10/2011 16:44","Medio (4 - 8 mts)",130,"Grande",-68.8356710918,-32.8798330932,1,"Parque Central",1655357.93265,1
2786,"Morera","21/10/2011 16:33","Medio (4 - 8 mts)",180,"Grande",-68.8354423837,-32.8798514071,1,"Parque Central",1655357.93265,1
2788,"Pltano","20/10/2011 17:18","Alto (> 8 mts)",190,"Grande",-68.8351737802,-32.8801463163,1,"Parque Central",1655357.93265,1
2789,"Jacarand","20/10/2011 17:11","Bajo (2 - 4 mts)",28,"Mediano",-68.8351737105,-32.8802491931,1,"Parque Central",1655357.93265,1
2790,"Pltano","20/10/2011 17:07","Alto (> 8 mts)",180,"Grande",-68.8351885639,-32.8804023652,1,"Parque Central",1655357.93265,1
2799,"Paraiso","11/11/2011 09:04","Medio (4 - 8 mts)",120,"Grande",-68.8287048378,-32.8851697914,3,"Parque O'Higgins",1531146.02653,1
2833,"Pltano","09/11/2011 12:20","Alto (> 8 mts)",170,"Grande",-68.8343905171,-32.8938474596,3,"Parque O'Higgins",1531146.02653,1
2841,"Morera","09/11/2011 11:32","Alto (> 8 mts)",155,"Grande",-68.8330174565,-32.8930372993,3,"Parque O'Higgins",1531146.02653,1
2848,"Morera","03/11/2011 10:39","Medio (4 - 8 mts)",60,"Mediano",-68.8350795594,-32.8938363326,3,"Parque O'Higgins",1531146.02653,1
2851,"Morera","04/11/2011 09:51","Alto (> 8 mts)",140,"Grande",-68.8350795511,-32.893726018,3,"Parque O'Higgins",1531146.02653,1
2866,"Morera","04/11/2011 08:42","Alto (> 8 mts)",105,"Grande",-68.8352533327,-32.8940573767,3,"Parque O'Higgins",1531146.02653,1
2872,"Morera","09/09/2011 11:09","Alto (> 8 mts)",100,"Grande",-68.8312362277,-32.8708392839,4,"Cuarta Este Área Fundacional",1822015.85685,1
2931,"Morera","21/09/2011 08:47","Alto (> 8 mts)",74,"Grande",-68.8292242603,-32.8739295452,4,"Cuarta Este Área Fundacional",1822015.85685,1
2937,"Morera","21/09/2011 09:48","Alto (> 8 mts)",115,"Grande",-68.8277440025,-32.8735339777,4,"Cuarta Este Área Fundacional",1822015.85685,1
2938,"Morera","21/09/2011 09:44","Alto (> 8 mts)",100,"Grande",-68.8277380874,-32.8734487235,4,"Cuarta Este Área Fundacional",1822015.85685,1
2941,"Paraiso","21/09/2011 09:25","Alto (> 8 mts)",118,"Grande",-68.8284814797,-32.8731677051,4,"Cuarta Este Área Fundacional",1822015.85685,1
2942,"Morera","21/09/2011 09:11","Alto (> 8 mts)",140,"Grande",-68.8290692832,-32.8731254322,4,"Cuarta Este Área Fundacional",1822015.85685,1
2963,"Morera","19/09/2011 14:38","Alto (> 8 mts)",150,"Grande",-68.8260151821,-32.871245135,4,"Cuarta Este Área Fundacional",1822015.85685,1
2971,"Fresno europeo","16/09/2011 09:35","Alto (> 8 mts)",123,"Grande",-68.8245661456,-32.8719310667,4,"Cuarta Este Área Fundacional",1822015.85685,1
2974,"Morera","15/09/2011 16:02","Alto (> 8 mts)",145,"Grande",-68.8258814209,-32.8719091402,4,"Cuarta Este Área Fundacional",1822015.85685,1
2979,"Paraiso","16/09/2011 13:00","Alto (> 8 mts)",150,"Grande",-68.824956018,-32.8721021294,4,"Cuarta Este Área Fundacional",1822015.85685,1
2982,"Paraiso","16/09/2011 12:37","Medio (4 - 8 mts)",59,"Mediano",-68.8247104988,-32.8719915897,4,"Cuarta Este Área Fundacional",1822015.85685,1
3001,"Morera","15/09/2011 13:07","Alto (> 8 mts)",190,"Grande",-68.830612836,-32.8722845681,4,"Cuarta Este Área Fundacional",1822015.85685,1
3057,"Morera","15/09/2011 14:00","Alto (> 8 mts)",90,"Grande",-68.8268452683,-32.8721606621,4,"Cuarta Este Área Fundacional",1822015.85685,1
3073,"Morera","08/09/2011 15:36","Bajo (2 - 4 mts)",68,"Grande",-68.8280659328,-32.871158847,4,"Cuarta Este Área Fundacional",1822015.85685,1
3095,"Ailanthus","08/09/2011 11:21","Alto (> 8 mts)",55,"Mediano",-68.8292430135,-32.8713317541,4,"Cuarta Este Área Fundacional",1822015.85685,1
3096,"Perenne","08/09/2011 11:20","Medio (4 - 8 mts)",280,"Grande",-68.8292430554,-32.8713098701,4,"Cuarta Este Área Fundacional",1822015.85685,1
3097,"Ailanthus","08/09/2011 11:12","Medio (4 - 8 mts)",25,"Mediano",-68.8292401421,-32.8712689121,4,"Cuarta Este Área Fundacional",1822015.85685,1
3109,"Morera","16/09/2011 11:23","Alto (> 8 mts)",180,"Grande",-68.8225898775,-32.8713029558,4,"Cuarta Este Área Fundacional",1822015.85685,1
3139,"Morera","09/09/2011 08:53","Medio (4 - 8 mts)",122,"Grande",-68.8247834019,-32.8728180652,4,"Cuarta Este Área Fundacional",1822015.85685,1
3233,"Paraiso","22/09/2011 08:14","Medio (4 - 8 mts)",111,"Grande",-68.8218873821,-32.8717018334,4,"Cuarta Este Área Fundacional",1822015.85685,1
3264,"Morera","04/10/2011 09:48","Alto (> 8 mts)",112,"Grande",-68.8339276383,-32.8788286806,1,"Parque Central",1655357.93265,1
3265,"Fresno europeo","04/10/2011 09:43","Alto (> 8 mts)",135,"Grande",-68.8342443565,-32.8788035386,1,"Parque Central",1655357.93265,1
3270,"Fresno europeo","05/10/2011 11:41","Medio (4 - 8 mts)",53,"Mediano",-68.8324065726,-32.879707245,4,"Cuarta Este Área Fundacional",1822015.85685,1
3279,"Morera","30/09/2011 11:48","Alto (> 8 mts)",140,"Grande",-68.8280327199,-32.8777930544,4,"Cuarta Este Área Fundacional",1822015.85685,1
3294,"Morera","30/09/2011 13:42","Bajo (2 - 4 mts)",20,"Chico",-68.829334725,-32.8768219172,4,"Cuarta Este Área Fundacional",1822015.85685,1
3298,"Morera","30/09/2011 10:38","Medio (4 - 8 mts)",50,"Mediano",-68.8225687519,-32.8734103038,4,"Cuarta Este Área Fundacional",1822015.85685,1
3319,"Morera","06/10/2011 16:30","Alto (> 8 mts)",134,"Grande",-68.8355785573,-32.8786035223,1,"Parque Central",1655357.93265,1
3342,"Morera","05/10/2011 10:47","Medio (4 - 8 mts)",145,"Grande",-68.8302243365,-32.8790712469,4,"Cuarta Este Área Fundacional",1822015.85685,1
